name,axis_x,axis_y,axis_z,length,breadth,thickness,shape,type
GuAm_ga_1,163359.9962,320683.0765,14.665,295,270,50,irregular_hexagon,unidentified
GuAm_ga_2,163344.6234,320687.9532,13.3689,300,210,60,irregular_rhombus,unidentified
GuAm_ga_3,163339.5325,320683.7602,14.668,330,120,50,irregular_rectangle,capstone
GuAm_ga_4,163340.6018,320679.7879,15.4839,270,170,60,irregular_rectangle,go_board
GuAm_ga_5,163343.5045,320678.4986,15.5163,320,140,80,irregular_rectangle,go_board
GuAm_ga_6,163347.2642,320677.8141,15.4147,280,190,55,irregular_rectangle,go_board
GuAm_ga_7,163350.5549,320678.4022,15.0762,250,240,40,irregular_rhombus,capstone
GuAm_ga_8,163353.5801,320680.1232,15.1316,230,210,45,irregular_rhombus,capstone
GuAm_ga_9,163356.8339,320678.1674,15.2941,180,140,95,rectangular_rhombus,capstone
GuAm_ga_10,163360.2687,320678.6324,14.8995,160,150,50,irregular_rhombus,go_board
GuAm_ga_11,163359.563,320674.7372,15.256,375,190,60,irregular_rectangle,go_board
GuAm_ga_12,163364.1151,320672.1994,15.2133,230,130,55,irregular_rectangle,capstone
GuAm_ga_13,163366.262,320675.5513,15.0398,180,120,65,irregular_rectangle,go_board
GuAm_ga_14,163370.0423,320675.8409,15.2408,215,165,85,irregular_rectangle,unidentified
GuAm_ga_15,163339.4489,320673.6888,15.8004,200,140,50,irregular_rectangle,unidentified
GuAm_ga_16,163341.6741,320670.767,15.5528,150,150,40,circle,unidentified
GuAm_ga_17,163342.7091,320674.0871,15.4288,270,185,30,rectangular_long_ellipse,unidentified
GuAm_ga_18,163346.654,320668.6716,15.6162,270,155,75,irregular_rectangle,capstone
GuAm_ga_19,163350.0622,320668.433,15.1486,330,250,40,irregular_triangle,unidentified
GuAm_ga_20,163353.3776,320666.9154,15.1195,295,205,60,irregular_rectangle,unidentified
GuAm_ga_21,163381.4839,320671.7405,13.7525,190,150,25,irregular_rectangle,unidentified
GuAm_ga_22,163374.5426,320670.8182,14.4761,280,185,20,irregular_rhombus,capstone
GuAm_ga_23,163371.7894,320669.3753,14.7602,200,200,30,rectangular_ellipsoid,unidentified
GuAm_ga_24,163369.5069,320668.2627,14.7972,250,205,30,irregular_rhombus,unidentified
GuAm_ga_25,163345.0516,320662.8288,15.4786,260,145,60,irregular_rhombus,go_board
GuAm_ga_26,163345.6123,320659.8293,15.1081,290,210,50,irregular_rectangle,unidentified
GuAm_na_1,163468.0235,320871.9079,9.7001,300,200,90,irregular_triangle,go_board
DaeDong_ga_1,166054.0909,317108.9112,21.1057,310,200,90,irregular_rectangle,go_board
DaeDong_ga_2,166102.1019,317129.8098,20.496,450,270,130,irregular_half_ellipse,go_board
DaeDong_ga_3,166111.2577,317134.4661,21.0078,600,340,180,irregular_rhombus,go_board
DaeDong_ga_4,166138.6692,317153.3891,22.2002,450,320,140,irregular_rhombus,go_board
DaeDong_ga_5,166233.5696,317180.7301,17.1537,350,240,120,irregular_hexagon,go_board
DaeDong_ga_6,166155.0546,317142.1594,17.6666,250,120,68,irregular_rectangle,go_board
DaeDong_da_1,165600.6919,316536.5744,50.3313,215,180,80,irregular_pentagon,unidentified
DaeDong_da_2,165746.0818,316445.1669,51.6366,240,160,70,irregular_rectangle,unidentified
DaeDong_da_3,165743.2418,316439.0014,52.1006,340,310,40,irregular_rectangle,go_board
DaeDong_da_4,165735.1888,316432.1098,52.5183,265,140,85,irregular_rectangle,go_board
DaeDong_da_5,165771.5779,316515.0269,30.4999,270,75,100,irregular_rectangle,go_board
DaeDong_ra_1,164906.8069,316400.8669,55.6776,310,160,80,irregular_rectangle,capstone
DaeDong_ma_1,165729.6174,316333.6765,37.8858,155,130,80,irregular_rhombus,capstone
DaeDong_ma_2,165733.5542,316327.8879,37.3711,325,100,70,irregular_rectangle,capstone
DaeDong_ma_3,165734.9992,316325.4165,36.9515,220,200,50,irregular_pentagon,capstone
DaeDong_ma_4,165736.9121,316323.9046,37.1835,200,120,80,irregular_rectangle,capstone
DaeDong_ma_5,165742.2491,316323.4347,36.8073,250,120,50,irregular_rectangle,capstone
DaeDong_ma_6,165741.1505,316327.7463,36.5949,230,200,40,rectangular_long_ellipse,capstone
DaeDong_ma_7,165723.5514,316328.6338,36.7714,195,140,40,irregular_rhombus,capstone
DaeDong_ma_8,165719.9376,316330.4747,37.0885,210,130,30,irregular_rectangle,capstone
DaeDong_ma_9,165724.0626,316335.3289,37.6994,240,140,55,irregular_rectangle,capstone
DaeDong_ba_1,165873.6325,315838.3096,35.0528,230,140,40,irregular_rectangle,unidentified
DaeDong_ba_2,165869.0453,315775.2492,33.679,230,140,40,irregular_rectangle,go_board
